id;adress
fa6dc558-8554-432b-bf02-ffe0b267bd27;Jewelery centrafricaine Account
4488b024-437e-4cb2-bf4f-3cd8f0caeb58;salmon Concrete applications
349a326e-d549-4803-9fd0-e0e419709bab;transmitter Implemented mesh
1ad969f6-731c-4f34-8f97-49f868aedfb0;wireless
33177042-7cef-4953-b2d6-1d4bbbc1a04a;b BEAC
1896c5ad-cc4b-4ab4-b274-5ff5a1666ca7;b
bb400ba5-7759-4424-a4e3-4462f7984af6;reciprocal
9db384a3-457a-4eca-91e7-7669f873946a;Tomé-et-Principe SAS Checking
bdab1d3c-50b8-40da-8325-b86b7f170e3e;Account
def37e68-dc20-47f2-bb4f-afbfe5d1c345;contingency user-facing
